sexe;preusuel;annais;dpt;nombre
2;ALFREDA;1929;62;61
2;ALFREDA;1929;68;3
2;ALFREDA;1930;02;3
2;ALFREDA;1930;54;5
2;ALFREDA;1930;57;3
2;ALFREDA;1930;59;70
2;ALFREDA;1930;62;46
2;ALFREDA;1930;75;5
2;ALFREDA;1930;78;4
2;ALFREDA;1931;02;3
2;ALFREDA;1931;54;3
2;ALFREDA;1931;59;59
2;ALFREDA;1931;60;4
2;ALFREDA;1931;62;47
2;ALFREDA;1931;75;5
2;ALFREDA;1931;80;3
2;ALFREDA;1932;02;3
2;ALFREDA;1932;54;5
2;ALFREDA;1932;59;49
2;ALFREDA;1932;60;3
2;ALFREDA;1932;62;44
2;ALFREDA;1932;75;3
2;ALFREDA;1932;81;3
2;ALFREDA;1933;02;8
2;ALFREDA;1933;59;44
2;ALFREDA;1933;62;49
2;ALFREDA;1933;80;4
2;ALFREDA;1934;02;4
2;ALFREDA;1934;59;52
2;ALFREDA;1934;60;3
2;ALFREDA;1934;62;41
2;ALFREDA;1934;974;3
2;ALFREDA;1935;59;41
2;ALFREDA;1935;62;39
2;ALFREDA;1936;59;28
2;ALFREDA;1936;60;3
2;ALFREDA;1936;62;27
2;ALFREDA;1937;02;5
2;ALFREDA;1937;59;30
2;ALFREDA;1937;62;27
2;ALFREDA;1937;974;3
2;ALFREDA;1938;57;3
2;ALFREDA;1938;59;24
2;ALFREDA;1938;62;29
2;ALFREDA;1939;59;20
2;ALFREDA;1939;62;27
2;ALFREDA;1940;59;17
2;ALFREDA;1940;62;28
2;ALFREDA;1941;59;13
2;ALFREDA;1941;62;13
2;ALFREDA;1942;59;14
2;ALFREDA;1942;62;9
2;ALFREDA;1942;80;3
2;ALFREDA;1943;59;6
2;ALFREDA;1943;62;9
2;ALFREDA;1944;59;8
2;ALFREDA;1944;62;9
2;ALFREDA;1945;59;5
2;ALFREDA;1945;62;12
2;ALFREDA;1946;59;16
2;ALFREDA;1946;62;24
